,city_name,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
353,Fort Nelson,58.81,-122.7,75.2,44,75,4.7,CA,1596671072
354,Trud,42.23,24.73,62.6,87,40,4.7,BG,1596671072
355,Mujiayingzi,42.12,118.78,75.69,49,1,6.85,CN,1596671072
356,Malpe,13.35,74.72,80.6,88,75,11.41,IN,1596671073
357,Gilgit,35.92,74.31,76.26,40,42,0.22,PK,1596671073
358,Dudinka,69.41,86.18,55.4,87,0,8.95,RU,1596671073
359,Tagusao,9.19,117.81,81.48,77,58,3.74,PH,1596671073
360,Pontal do Paraná,-25.65,-48.51,55.4,100,75,4.7,BR,1596671074
361,Ixtapa,20.7,-105.2,87.01,84,90,8.05,MX,1596671074
362,Cabo San Lucas,22.89,-109.91,91.4,46,5,11.41,MX,1596670873
363,Kuytun,54.34,101.5,57.65,94,100,3.49,RU,1596671074
364,Pardubice,50.04,15.78,61.0,93,54,1.12,CZ,1596671064
365,Berlevåg,70.86,29.09,49.35,88,98,2.93,NO,1596671075
366,Karpathos,35.51,27.21,77.0,65,0,20.8,GR,1596671075
367,Dali,25.7,100.18,66.2,80,79,0.87,CN,1596671075
368,Puerto Castilla,16.02,-85.97,84.07,78,98,15.75,HN,1596671076
369,Nago,26.59,127.98,84.2,79,1,6.93,JP,1596671076
370,Nizhnevartovsk,60.93,76.55,64.4,93,75,2.24,RU,1596671076
